DATETIMERECEIVEDUTC,DATETIMECOMPLETEDUTC,WORKORDERREFNO,OBJECTID,FACILITYID,INTID,COUNCILDISTRICT,SERVICERECORDID,SERVICECATEGORY,DATETIMERECEIVED,STATUS,DATETIMECOMPLETED,DETAILSUMMARY,LATITUDE,LONGITUDE,IMAGENAME,HYPERLINK,MYSANJOSEREFNO,LASTUPDATETHIRTYDAYS,LASTUPDATE,NOTES,ENTERPRISEID,GlobalID
2020-08-10 13:13:00 America/Los_Angeles,2020-08-17 16:29:00 America/Los_Angeles,WO-0000360423,198,90131,90131,3,,Debris & Illegal Dumping,2020-08-10 06:13:00 America/Los_Angeles,Closed,1597685340000,,37.336365,-121.885389,,,,2020-08-25 05:45:24 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,TRASH AND DEBRIS ON SIDE OF CATHOLIC CHARITIES,IWM-ILDM-0000090131,{BEB065F5-FEC4-4724-83DB-995EA0C1A684}
2018-09-12 09:23:48 America/Los_Angeles,2018-09-26 12:15:00 America/Los_Angeles,WO-0000154560,199,40321,40321,5,216935,Debris & Illegal Dumping,2018-09-12 02:23:48 America/Los_Angeles,Closed,1537967700000,,37.36281974,-121.84165958,,,180912-000171,2020-08-25 05:45:53 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,"Mattress,old water heater,and stove on the street.",IWM-ILDM-0000040321,{9D8C6B7A-712B-44BF-B9D1-49E42C23119B}
2019-09-05 16:50:53 America/Los_Angeles,2019-09-06 11:00:00 America/Los_Angeles,WO-0000260661,200,63368,63368,7,393451,Debris & Illegal Dumping,2019-09-05 09:50:53 America/Los_Angeles,Closed,1567771200000,,37.30409516,-121.86117601,,,190905-000605,2020-08-25 05:44:52 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,Trashed area behind shell  station,IWM-ILDM-0000063368,{3029352E-5A91-401D-B4CC-BFB9EF583A9A}
2016-06-06 14:05:00 America/Los_Angeles,2016-06-06 18:30:00 America/Los_Angeles,WO-0000013199,201,5209,5209,1,,Debris & Illegal Dumping,2016-06-06 07:05:00 America/Los_Angeles,Closed,1465241400000,,37.320454,-121.988692,,,,2020-08-25 05:32:55 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,P-1  c/s Capistrano Ave- bike- stereo on sidewalk-,IWM-ILDM-0000005209,{9193DBBB-78A1-4120-98BD-C10E345E32CD}
2022-02-03 11:42:00 America/Los_Angeles,2022-02-03 11:45:00 America/Los_Angeles,WO-0000487517,202,127277,127277,8,,Debris & Illegal Dumping,2022-02-03 03:42:00 America/Los_Angeles,Closed,1643888700000,1 Hazardous Waste,37.320371,-121.815242,,,,2022-01-04 09:01:04 America/Los_Angeles,2022-02-03 17:01:05 America/Los_Angeles,Oil containers,IWM-ILDM-0000127277,{B9100CDB-DED5-4123-86B1-F9D85A9209C9}
2020-08-25 08:29:00 America/Los_Angeles,2020-08-25 08:31:00 America/Los_Angeles,WO-0000363539,203,91056,91056,7,,Debris & Illegal Dumping,2020-08-25 01:29:00 America/Los_Angeles,Closed,1598347860000,1 Other Appliances,37.317028,-121.825501,,,,2020-08-25 05:45:25 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,Stove,IWM-ILDM-0000091056,{C4103D78-9E29-49B2-BBA9-5BA0327F48E1}
2020-07-14 08:45:40 America/Los_Angeles,2020-07-16 09:50:00 America/Los_Angeles,WO-0000354092,204,87915,87915,3,571918,Debris & Illegal Dumping,2020-07-14 01:45:40 America/Los_Angeles,Closed,1594896600000,"1 Construction Debris , 1 General Debris , 1 Washer/Dryer, ",37.34448279,-121.87998491,,,200714-000134,2020-08-25 05:41:51 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,Small appliances,IWM-ILDM-0000087915,{45412185-B356-45C3-B7D3-97581FFD1C67}
2019-05-29 08:11:00 America/Los_Angeles,2019-05-29 08:12:00 America/Los_Angeles,WO-0000227608,205,56257,56257,5,,Debris & Illegal Dumping,2019-05-29 01:11:00 America/Los_Angeles,Closed,1559121120000,2 Tire,37.344796,-121.827459,,,,2020-08-25 05:46:08 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,@Arden Wy. Tires,IWM-ILDM-0000056257,{774AEB80-B69F-4EAA-8FAB-DAECFE1153C5}
2022-10-04 05:59:23 America/Los_Angeles,2022-10-04 13:15:00 America/Los_Angeles,WO-0000535549,206,142049,142049,3,1110848,Debris & Illegal Dumping,2022-10-03 22:59:23 America/Los_Angeles,Closed,1664892900000,2 Garbage,37.318442,-121.8842331,,,221004-000029,2022-09-04 10:01:39 America/Los_Angeles,2022-10-04 17:01:42 America/Los_Angeles,Junk on sidewalk,IWM-ILDM-0000142049,{6C6FB1D5-15D1-4133-86D3-9E44E77EBCC5}
2017-03-08 13:38:00 America/Los_Angeles,2017-03-08 14:35:48 America/Los_Angeles,WO-0000031206,207,12045,12045,8,,Debris & Illegal Dumping,2017-03-08 05:38:00 America/Los_Angeles,Closed,1488983748000,2 Garbage,37.321861,-121.816709,,,,2020-08-25 05:39:10 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,"ON Rigoletto bag of garb,household trash/boxes, clothes on sidewalk",IWM-ILDM-0000012045,{C85D5EDF-D813-4D33-8078-892584C6C737}
2016-03-21 14:22:00 America/Los_Angeles,2016-03-22 15:06:00 America/Los_Angeles,WO-0000008280,208,3012,3012,10,,Debris & Illegal Dumping,2016-03-21 07:22:00 America/Los_Angeles,Closed,1458662760000,,37.231576,-121.89547,,,,2020-08-25 05:34:24 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,btwn Almaden Valley Dr & Sentinel Dr south side of street chair & ottoman,IWM-ILDM-0000003012,{5A7905C9-1FCA-4401-AF8F-559657CDAD53}
2021-07-09 10:18:27 America/Los_Angeles,2021-07-27 07:06:00 America/Los_Angeles,WO-0000440804,209,114113,114113,6,767711,Debris & Illegal Dumping,2021-07-09 03:18:27 America/Los_Angeles,Closed,1627373160000,,37.31270987,-121.89710566,,,210709-000356,2021-07-03 14:01:36 America/Los_Angeles,2021-08-02 21:02:14 America/Los_Angeles,"On Snyder Ave, at the intersection of Bird and Snyder. This has been here for 2 or more weeks.",IWM-ILDM-0000114113,{FE1965D2-161C-478C-82B2-48F76EF83D48}
2021-05-03 09:27:00 America/Los_Angeles,2021-05-03 09:31:00 America/Los_Angeles,WO-0000421120,210,107449,107449,3,,Debris & Illegal Dumping,2021-05-03 02:27:00 America/Los_Angeles,Closed,1620037860000,2 Mattress,37.331331,-121.87951,,,,2021-04-03 04:01:07 America/Los_Angeles,2021-05-03 11:01:12 America/Los_Angeles,@ E William St. mattress,IWM-ILDM-0000107449,{C6FCAB60-C207-460E-A7D7-4A2FA5F6C89A}
2018-10-02 09:33:02 America/Los_Angeles,2018-10-04 09:41:00 America/Los_Angeles,WO-0000160483,211,41557,41557,8,226324,Debris & Illegal Dumping,2018-10-02 02:33:02 America/Los_Angeles,Closed,1538649660000,,37.32292263,-121.79719707,,,181002-000148,2020-08-25 05:46:57 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,"Big, Big, a really big amount of dumped items that look like a stunt.  This area has been an issue.  Please clean and pickup.  Thank you",IWM-ILDM-0000041557,{398DDC17-99C0-478B-89EB-62D6A5F25E44}
2022-10-10 13:31:14 America/Los_Angeles,2022-10-13 07:45:00 America/Los_Angeles,WO-0000536951,212,142490,142490,6,1115390,Debris & Illegal Dumping,2022-10-10 06:31:14 America/Los_Angeles,Closed,1665650700000,,37.30218259,-121.9368238,,,221010-000357,2022-09-13 14:02:00 America/Los_Angeles,2022-10-13 21:02:06 America/Los_Angeles,corner of Aram. Stroller and trimmings bin have been left on the street for the last 3-4 weeks,IWM-ILDM-0000142490,{903A8272-349D-4FCC-A442-636ED4156D76}
2020-11-24 11:18:00 America/Los_Angeles,2020-11-24 11:54:00 America/Los_Angeles,WO-0000384106,213,96832,96832,9,,Debris & Illegal Dumping,2020-11-24 03:18:00 America/Los_Angeles,Closed,1606218840000,.3 General Debris,37.26563,-121.863911,,,,2020-10-25 06:01:31 America/Los_Angeles,2020-11-24 14:01:34 America/Los_Angeles,Junk,IWM-ILDM-0000096832,{6A2FF354-25B6-4079-BF1F-6442DC22CF0D}
2017-09-27 08:15:05 America/Los_Angeles,2017-10-02 09:35:00 America/Los_Angeles,WO-0000062366,214,19844,19844,4,57268,Debris & Illegal Dumping,2017-09-27 01:15:05 America/Los_Angeles,Closed,1506940500000,"3 Construction Debris , 3 Garbage , 1 Mattress , 3 Hazardous Waste",37.37076569,-121.86914063,,,170927-000104,2020-08-25 05:39:04 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,wood and boxes,IWM-ILDM-0000019844,{82E5118A-0579-4752-A770-C6EBF97EA129}
2021-01-15 13:00:28 America/Los_Angeles,2021-01-15 14:30:00 America/Los_Angeles,WO-0000393990,215,99521,99521,1,649051,Debris & Illegal Dumping,2021-01-15 05:00:28 America/Los_Angeles,Closed,1610721000000,,37.293713,-121.9720611,,,210115-000255,2020-12-16 09:01:07 America/Los_Angeles,2021-01-15 17:01:10 America/Los_Angeles,"couch, rug, carpet, table top",IWM-ILDM-0000099521,{AA6FEC00-616B-445B-A933-7C3B18712FCE}
2018-07-13 09:29:00 America/Los_Angeles,2018-08-13 09:11:00 America/Los_Angeles,WO-0000135895,216,35820,35820,5,,Debris & Illegal Dumping,2018-07-13 02:29:00 America/Los_Angeles,Closed,1534155060000,1 Construction Debris,37.386938,-121.830363,,,,2020-08-25 05:39:36 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,wood panels,IWM-ILDM-0000035820,{E43E54E1-64C5-43E9-BBF0-E56898CA796F}
2019-04-12 15:16:55 America/Los_Angeles,2019-04-15 11:00:00 America/Los_Angeles,WO-0000213599,217,53052,53052,10,313309,Debris & Illegal Dumping,2019-04-12 08:16:55 America/Los_Angeles,Closed,1555329600000,,37.23673947,-121.80594696,,,190412-000464,2020-08-25 05:39:37 America/Los_Angeles,2022-02-11 11:05:16 America/Los_Angeles,A sofa and a large cardboard box on the corner of Nature Drive and Santa Teresa Blvd.,IWM-ILDM-0000053052,{B8B66612-C41D-48CF-B33E-2A621397FF85}
2017-07-14 13:06:19 America/Los_Angeles,2017-07-15 13:10:55 America/Los_Angeles,WO-0000040826,218,15743,15743,7,19087,Debris & Illegal Dumping,2017-07-14 06:06:19 America/Los_Angeles,Closed,1500127855000,,37.314258,-121.876074,,,170714-000239,2020-08-25 05:33:53 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,c/s Sanborn Way - Illegal dump behind Alma Community Center,IWM-ILDM-0000015743,{EDF04AB8-F192-4B20-9ECA-658506D7DEF4}
2022-06-06 13:12:00 America/Los_Angeles,2022-06-06 13:15:00 America/Los_Angeles,WO-0000511072,219,134832,134832,4,,Debris & Illegal Dumping,2022-06-06 06:12:00 America/Los_Angeles,Closed,1654524900000,6 Garbage,37.414474,-121.859391,,,,2022-05-07 10:01:21 America/Los_Angeles,2022-06-06 17:01:23 America/Los_Angeles,Bags of garbage,IWM-ILDM-0000134832,{273B7E99-CB4F-4CE1-8326-A2AFC0CA8559}
2019-08-12 11:26:53 America/Los_Angeles,2019-08-13 10:17:00 America/Los_Angeles,WO-0000252561,220,61626,61626,7,378600,Debris & Illegal Dumping,2019-08-12 04:26:53 America/Los_Angeles,Closed,1565695020000,,37.30193735,-121.87218178,,,190812-000398,2020-08-25 05:46:57 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,Pile of lumber on Cimino at Stone Ave,IWM-ILDM-0000061626,{E40315DE-5BFC-4294-9BB3-1F76F875ECE7}
2020-03-11 16:51:33 America/Los_Angeles,2020-03-13 10:23:00 America/Los_Angeles,WO-0000322125,221,77635,77635,1,496087,Debris & Illegal Dumping,2020-03-11 09:51:33 America/Los_Angeles,Closed,1584098580000,1 Other Furniture,37.31312977,-121.96217526,,,200311-000660,2020-08-25 05:35:13 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,Near driveway entrance at curb,IWM-ILDM-0000077635,{20B06479-BAD5-4754-B975-8222C82487B4}
2021-01-14 18:08:58 America/Los_Angeles,2021-01-16 07:56:00 America/Los_Angeles,WO-0000393805,222,99487,99487,4,648728,Debris & Illegal Dumping,2021-01-14 10:08:58 America/Los_Angeles,Closed,1610783760000,,37.37295409,-121.878307,,,210114-000510,2020-12-19 14:01:20 America/Los_Angeles,2021-01-18 22:01:24 America/Los_Angeles,At the end of Solari place dumped in the green area/sidewalk.,IWM-ILDM-0000099487,{EC56D033-0506-4A2E-BBE9-42465EEA080D}
2022-04-27 10:52:44 America/Los_Angeles,2022-04-29 05:30:00 America/Los_Angeles,WO-0000503642,223,132269,132269,4,981794,Debris & Illegal Dumping,2022-04-27 03:52:44 America/Los_Angeles,Closed,1651213800000,2 Garbage,37.3766343,-121.8566836,,,220427-000382,2022-03-30 14:01:47 America/Los_Angeles,2022-04-29 21:01:49 America/Los_Angeles,"Gateview and Lava. This area continues to be a dumping ground. Some, but not all of the garbage was not picked up from the last report. Thanks for looking into this.",IWM-ILDM-0000132269,{043659D6-781A-45D4-A5C3-70757740B9CB}
2020-07-06 15:18:12 America/Los_Angeles,2020-07-30 10:59:00 America/Los_Angeles,WO-0000352415,224,87386,87386,9,568179,Debris & Illegal Dumping,2020-07-06 08:18:12 America/Los_Angeles,Closed,1596110340000,,37.2570126,-121.8759074,,,200706-000580,2020-08-25 05:40:04 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,"Debris on side of road: Almaden Rd where it goes under Highway 87 - mattresses, trash, broken furniture",IWM-ILDM-0000087386,{154E4BD9-A088-4233-9F05-DA214E2CC14D}
2021-02-08 22:33:27 America/Los_Angeles,2021-02-11 13:20:00 America/Los_Angeles,WO-0000399617,225,101112,101112,3,659644,Debris & Illegal Dumping,2021-02-08 14:33:27 America/Los_Angeles,Closed,1613049600000,,37.35473962,-121.88249588,,,210208-000823,2021-01-12 14:01:25 America/Los_Angeles,2021-02-11 22:01:34 America/Los_Angeles,On Payne near Hamilton. Large pile of debris and yard waste in street. Has been there for months,IWM-ILDM-0000101112,{5B14057E-90DF-4356-96B3-67BE1D9C171E}
2019-11-12 12:09:20 America/Los_Angeles,2019-11-13 12:11:00 America/Los_Angeles,WO-0000281529,226,68133,68133,3,429802,Debris & Illegal Dumping,2019-11-12 04:09:20 America/Los_Angeles,Closed,1573647060000,,37.37509442,-121.90839361,,,191112-000376,2020-08-25 05:36:41 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,"Two shopping carts with trash, mattress with miscellaneous trash",IWM-ILDM-0000068133,{83952DF0-2BEE-42D0-AC50-9CA51B3B3D12}
2017-06-01 07:59:18 America/Los_Angeles,2017-06-02 11:00:00 America/Los_Angeles,WO-0000036956,227,14411,14411,7,5758,Debris & Illegal Dumping,2017-06-01 00:59:18 America/Los_Angeles,Closed,1496404800000,1 Other Appliances,37.2955531,-121.84886,,,170601-000057,2020-08-25 05:42:11 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,Toilet,IWM-ILDM-0000014411,{EDBBDAD5-6C65-4340-948D-ADA477E2BB63}
2021-05-26 11:54:49 America/Los_Angeles,2021-05-27 07:02:00 America/Los_Angeles,WO-0000427689,228,109541,109541,7,731727,Debris & Illegal Dumping,2021-05-26 04:54:49 America/Los_Angeles,Closed,1622102520000,"3 Garbage , 2 General Debris , 2 Shopping Cart",37.33432282,-121.85169107,,,210526-000288,2021-04-27 04:01:31 America/Los_Angeles,2021-05-27 11:01:34 America/Los_Angeles,Via Ferrari,IWM-ILDM-0000109541,{072238AB-2E4E-4697-9E61-06E920445332}
2020-06-23 13:54:00 America/Los_Angeles,2020-06-26 06:47:00 America/Los_Angeles,WO-0000349814,229,86612,86612,6,,Debris & Illegal Dumping,2020-06-23 06:54:00 America/Los_Angeles,Closed,1593157620000,,37.368725,-121.91743,,,,2020-08-25 05:38:27 America/Los_Angeles,2022-02-11 11:05:16 America/Los_Angeles,YARD DEBRIS LEFT ON STREET,IWM-ILDM-0000086612,{4DA42AD6-087A-4DB2-B784-42311F3574CD}
2020-08-19 11:44:10 America/Los_Angeles,2020-08-21 11:00:00 America/Los_Angeles,WO-0000362472,230,90728,90728,3,588932,Debris & Illegal Dumping,2020-08-19 04:44:10 America/Los_Angeles,Closed,1598011200000,"8 Construction Debris , 3 Couch , 20 Garbage , 6 Mattress , 12 General Debris , 6 Other Appliances , 8 Other Furniture , 3 Shopping Cart , 3 Tire , 10 Universal Waste",37.3160314,-121.8789194,,,200819-000308,2020-08-25 05:47:21 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,Illegal dumping is in a public city-owned alley behind the 1247 Plum St. property. The alley is located between Plum St. and S. Almaden Ave. and can be accessed via W. Humboldt St. or Floyd St. The illegal dumping is preventing vehicles from being able to,IWM-ILDM-0000090728,{AF00D0F3-FB39-4B4D-834B-8FE62E6AB935}
2018-05-15 17:05:46 America/Los_Angeles,2018-05-16 08:30:00 America/Los_Angeles,WO-0000118803,231,31951,31951,7,160756,Debris & Illegal Dumping,2018-05-15 10:05:46 America/Los_Angeles,Closed,1526463000000,1 General Debris,37.30351724,-121.85620286,,,180515-000505,2020-08-25 05:46:33 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,Car bumper on median in middle of the road,IWM-ILDM-0000031951,{12B34AA2-1680-4E20-88EB-371FE189522E}
2019-03-01 19:42:07 America/Los_Angeles,2019-03-04 09:00:06 America/Los_Angeles,WO-0000200893,232,50329,50329,3,292762,Debris & Illegal Dumping,2019-03-01 11:42:07 America/Los_Angeles,Closed,1551690006000,"2 Garbage , 1 Refrigerator",37.3451151,-121.89250186,,,190301-000476,2020-08-25 05:43:50 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,Fridge,IWM-ILDM-0000050329,{1CF6B196-1365-4127-9E20-B55DB76C3E37}
2019-05-05 12:08:41 America/Los_Angeles,2019-05-09 08:46:00 America/Los_Angeles,WO-0000220165,233,54596,54596,7,324433,Debris & Illegal Dumping,2019-05-05 05:08:41 America/Los_Angeles,Closed,1557395160000,1 Other Furniture,37.27979322,-121.82421047,,,190505-000085,2020-08-25 05:48:11 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,Black cabinet dumped on the sidewalk,IWM-ILDM-0000054596,{AF06487E-ED57-4610-BDF4-25ACFD943637}
2020-11-30 07:27:00 America/Los_Angeles,2020-11-30 08:34:00 America/Los_Angeles,WO-0000384860,234,97009,97009,6,,Debris & Illegal Dumping,2020-11-29 23:27:00 America/Los_Angeles,Closed,1606725240000,"1 Garbage , 1 Mattress , 2 Other Furniture",37.313917,-121.906838,,,,2020-10-31 03:01:04 America/Los_Angeles,2020-11-30 11:01:06 America/Los_Angeles,Mattress and dresser left at the [ark strip. Please collect. Thanks.,IWM-ILDM-0000097009,{350DC36F-4135-4D47-9A16-CB310CFAE429}
2019-04-02 13:42:33 America/Los_Angeles,2019-05-03 13:31:00 America/Los_Angeles,WO-0000210504,235,52327,52327,5,307972,Debris & Illegal Dumping,2019-04-02 06:42:33 America/Los_Angeles,Closed,1556893860000,,37.35360402,-121.83744047,,,190402-000512,2020-08-25 05:39:02 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,"Currently under road Const. Assign to New Image for cleanup, may need to wait until Const. Work is done",IWM-ILDM-0000052327,{43110477-70F5-48B2-BD86-E81D6144819E}
2021-09-15 10:09:08 America/Los_Angeles,2021-09-16 12:27:00 America/Los_Angeles,WO-0000458651,236,119477,119477,7,824322,Debris & Illegal Dumping,2021-09-15 03:09:08 America/Los_Angeles,Closed,1631798820000,,37.2883171,-121.8259018,,,210915-000340,2021-08-17 10:01:05 America/Los_Angeles,2021-09-16 17:01:08 America/Los_Angeles,debris,IWM-ILDM-0000119477,{86726CF9-052A-4C71-A0AA-B7468EC0C7E5}
2017-11-10 12:10:39 America/Los_Angeles,2017-11-14 12:58:00 America/Los_Angeles,WO-0000073175,237,21874,21874,7,77360,Debris & Illegal Dumping,2017-11-10 04:10:39 America/Los_Angeles,Closed,1510664280000,1 Mattress,37.2939291,-121.81197826,,,171110-000098,2020-08-25 05:32:52 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,Matress,IWM-ILDM-0000021874,{60029D27-14D5-4712-8C9C-2AD53307CB33}
2019-05-28 09:50:00 America/Los_Angeles,2019-05-28 09:54:00 America/Los_Angeles,WO-0000227275,238,56191,56191,4,,Debris & Illegal Dumping,2019-05-28 02:50:00 America/Los_Angeles,Closed,1559040840000,6 General Debris,37.377069,-121.866512,,,,2020-08-25 05:45:48 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,General debris,IWM-ILDM-0000056191,{0FCD2AED-FFE8-41DB-8BB8-2A5B9106D910}
2018-12-06 13:36:00 America/Los_Angeles,2018-12-07 11:50:00 America/Los_Angeles,WO-0000178677,239,45589,45589,7,,Debris & Illegal Dumping,2018-12-06 05:36:00 America/Los_Angeles,Closed,1544183400000,2 Mattress,37.300992,-121.843137,,,,2020-08-25 05:34:41 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,Mattress,IWM-ILDM-0000045589,{E9DD45A3-F248-4127-B8EA-6E08E144CDEC}
2018-09-27 07:04:54 America/Los_Angeles,2018-09-27 10:16:13 America/Los_Angeles,WO-0000158967,240,41237,41237,4,224078,Debris & Illegal Dumping,2018-09-27 00:04:54 America/Los_Angeles,Closed,1538046973000,2 General Debris,37.41465943,-121.85226269,,,180927-000049,2020-08-25 05:47:56 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,2 rugs dumped on sidewalk on Old Piedmont Rd,IWM-ILDM-0000041237,{2C17C54D-847F-452C-872E-88F7B6C6F528}
2020-10-21 06:53:00 America/Los_Angeles,2020-10-21 11:00:00 America/Los_Angeles,WO-0000376286,241,94747,94747,7,,Debris & Illegal Dumping,2020-10-20 23:53:00 America/Los_Angeles,Closed,1603281600000,,37.290204,-121.849939,,,,2020-09-21 07:01:25 America/Los_Angeles,2020-10-21 14:01:28 America/Los_Angeles,Very large pile of dirt was dumped in front of business,IWM-ILDM-0000094747,{21BF0A1C-B5CA-418F-8F7B-B5BBB4359705}
2022-05-11 08:43:00 America/Los_Angeles,2022-05-13 13:35:00 America/Los_Angeles,WO-0000506349,242,133250,133250,9,,Debris & Illegal Dumping,2022-05-11 01:43:00 America/Los_Angeles,Closed,1652452500000,1 Other Furniture,37.244405,-121.909032,,,,2022-04-13 14:01:45 America/Los_Angeles,2022-05-13 21:01:48 America/Los_Angeles,wood on the curb,IWM-ILDM-0000133250,{F028DB80-A145-470A-B7D7-338F562BE750}
2019-12-16 14:41:44 America/Los_Angeles,2019-12-18 12:05:00 America/Los_Angeles,WO-0000292426,243,70593,70593,6,448037,Debris & Illegal Dumping,2019-12-16 06:41:44 America/Los_Angeles,Closed,1576670700000,1 Couch,37.3411452,-121.9169768,,,191216-000438,2020-08-25 05:38:40 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,couch,IWM-ILDM-0000070593,{15DCB7BE-98B4-4C3A-B9D5-539F944CAC64}
2021-06-23 10:33:15 America/Los_Angeles,2021-06-27 05:06:00 America/Los_Angeles,WO-0000436102,244,112506,112506,3,754272,Debris & Illegal Dumping,2021-06-23 03:33:15 America/Los_Angeles,Closed,1624773960000,,37.31236387,-121.88255518,,,210623-000320,2021-05-29 14:01:41 America/Los_Angeles,2021-06-28 21:02:00 America/Los_Angeles,Weekly dump site with a kicker of drugs on the nearby fence.  Hooray!,IWM-ILDM-0000112506,{E3C43872-C07B-4236-9D65-14E8B167F96F}
2018-11-10 09:22:59 America/Los_Angeles,2018-11-13 10:02:00 America/Los_Angeles,WO-0000171652,245,44056,44056,7,243848,Debris & Illegal Dumping,2018-11-10 01:22:59 America/Los_Angeles,Closed,1542103320000,,37.30703721,-121.88082118,,,181110-000025,2020-08-25 05:33:32 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,On Curtner Ave under hey 87 overpass,IWM-ILDM-0000044056,{F4199DCB-1B56-4BC0-B01B-DBDD1A5F6FE5}
2020-07-09 14:37:00 America/Los_Angeles,2020-07-09 17:01:00 America/Los_Angeles,WO-0000353170,246,87620,87620,5,,Debris & Illegal Dumping,2020-07-09 07:37:00 America/Los_Angeles,Closed,1594317660000,,37.357985,-121.831845,,,,2020-08-25 05:40:53 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,"BROKEN GLASS ON ALL LANES, CAPITOL AVE S/B",IWM-ILDM-0000087620,{E36D3325-DFE3-44A1-9A51-9EE92927DF14}
2018-06-25 08:23:00 America/Los_Angeles,2018-06-28 10:23:00 America/Los_Angeles,WO-0000129643,247,34410,34410,10,,Debris & Illegal Dumping,2018-06-25 01:23:00 America/Los_Angeles,Closed,1530184980000,,37.223603,-121.776609,,,,2020-08-25 05:38:43 America/Los_Angeles,2022-02-11 11:05:16 America/Los_Angeles,2 dressers,IWM-ILDM-0000034410,{4B9097F2-F573-490F-8F00-333C303081B2}
2021-04-26 16:42:26 America/Los_Angeles,2021-04-28 09:05:00 America/Los_Angeles,WO-0000419500,248,106932,106932,5,708792,Debris & Illegal Dumping,2021-04-26 09:42:26 America/Los_Angeles,Closed,1619604300000,"1 Mattress , 3 General Debris , 2 Other Furniture",37.3497147,-121.8421391,,,210426-001000,2021-03-29 14:02:07 America/Los_Angeles,2021-04-28 21:02:19 America/Los_Angeles,Trash left on the sidewalk.,IWM-ILDM-0000106932,{488E6B78-EFCD-45FC-98E7-AB06A0B1FCCB}
2017-08-04 13:47:26 America/Los_Angeles,2017-08-04 13:57:00 America/Los_Angeles,WO-0000046645,249,16867,16867,6,29676,Debris & Illegal Dumping,2017-08-04 06:47:26 America/Los_Angeles,Closed,1501858620000,,37.31869,-121.9064,,,170804-000480,2020-08-25 05:45:42 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,Assorted debris being dumped by people living in camper trailers.,IWM-ILDM-0000016867,{25DA2DA6-990A-4519-801C-DB81B7DA25B1}
2021-05-17 15:37:15 America/Los_Angeles,2021-05-24 07:54:00 America/Los_Angeles,WO-0000425050,250,108663,108663,3,724690,Debris & Illegal Dumping,2021-05-17 08:37:15 America/Los_Angeles,Closed,1621846440000,1 Other Furniture,37.3443177,-121.8721689,,,210517-000915,2021-04-24 14:01:49 America/Los_Angeles,2021-05-24 21:02:00 America/Los_Angeles,Chair and broken table,IWM-ILDM-0000108663,{3CCFDBE1-A9DD-49E2-B5E2-D3BAF82E1F28}
2022-05-03 16:03:01 America/Los_Angeles,2022-05-06 07:01:00 America/Los_Angeles,WO-0000504832,251,132660,132660,8,986504,Debris & Illegal Dumping,2022-05-03 09:03:01 America/Los_Angeles,Closed,1651824060000,,37.3114006,-121.8083811,,,220503-000756,2022-04-06 14:01:55 America/Los_Angeles,2022-05-06 21:01:59 America/Los_Angeles,Illegal chairs and cardboards dumped here. Please help remove. Thanks!,IWM-ILDM-0000132660,{2C3B0335-17A4-46D6-8552-ABE3355B31FD}
2017-08-10 09:47:23 America/Los_Angeles,2017-08-10 14:53:45 America/Los_Angeles,WO-0000048524,252,17283,17283,7,32867,Debris & Illegal Dumping,2017-08-10 02:47:23 America/Los_Angeles,Closed,1502380425000,"1 Couch , 2 Garbage , 2 Mattress , 1 Other Furniture",37.2947,-121.8474,,,170810-000194,2020-08-25 05:37:23 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,New dumped items on Aiello near Umbarger,IWM-ILDM-0000017283,{BB9835CA-65C7-4B51-8190-C1BA9DF10E04}
